flight_id,rmse,aircraft_type
prc772812333,122.0207801869421,A320
prc772827510,50.069732163291974,A320
prc772829281,50.48476413780135,A320
prc772829365,144.90058467320853,B789
prc772841262,182.1466617224981,A359
prc772843045,60.98271410438605,B738
prc772844322,170.96841760215443,A320
prc772844654,111.49592973498262,A359
prc772848189,140.17525275735477,A359
prc772863999,22.19537193889235,A20N
prc772864732,134.19401814464786,A359
prc772877082,145.8662114770588,A320
prc772887594,151.29437759894358,A359
prc772887705,61.77144436264806,A320
prc772891085,74.0679750753551,A20N
prc772897368,98.92576275097709,B788
prc772904448,77.86726637273938,A359
prc772912019,100.3618794704626,A21N
prc772916308,342.95977026949356,A20N
prc772918326,217.54904769827587,A320
prc772943793,110.04344404951235,B738
prc772959029,43.66721430353568,A359
prc772959405,69.91411787045173,A20N
prc772968726,47.71261140023559,A320
prc772970992,85.70992834623043,A320
prc772978181,25.061950034561978,A320
prc772995568,64.87877553111697,A320
prc773008566,37.803607378838905,A320
prc773013869,201.98975784528105,A359
prc773018277,116.26634985152549,A359
prc773028678,88.06134760582373,A320
prc773039988,104.83409953275473,A20N
prc773044686,75.12858730198943,A320
prc773052058,53.494517795345445,A20N
prc773056990,66.03917941476419,A20N
prc773060185,48.35952385728938,A320
prc773074602,21.322484384021045,A320
prc773079643,97.8701068950904,B738
prc773089047,38.09335865325285,A20N
prc773090749,100.40686111971381,B738
prc773094986,95.17223511824858,A20N
prc773105070,123.2229571701239,B739
prc773119143,76.62925510113291,A359
prc773121806,151.81064155765986,A332
prc773127960,40.69839641374668,A20N
prc773140375,90.42103601059311,A320
prc773148523,122.00767291611194,A359
prc773149544,82.48068300503378,A333
prc773152731,183.24327744725784,B788
prc773173311,69.78572673307441,B738
prc773177480,119.59220452219719,B738
prc773196363,69.32421454683407,B788
prc773213250,133.93926595459791,B788
prc773213367,95.84077502157274,A320
prc773230232,65.40290647328224,A320
prc773258230,43.65714782810655,A320
prc773263849,140.1353714144957,A20N
prc773264788,66.59675047648558,A320
prc773276068,75.7004545314044,A320
prc773278563,55.431502747111615,A20N
prc773289356,35.172681219631514,A320
prc773290422,95.21330532495374,A20N
prc773293251,52.79492325807,A20N
prc773324111,101.94309264726316,A320
prc773325772,73.43895971804864,A320
prc773333781,107.81222451136394,B789
prc773335777,28.349775612891662,A321
prc773346975,62.143866269391054,B738
prc773347762,150.52223833075834,B788
prc773360787,37.6173276055195,A321
prc773362373,90.19967313041533,A320
prc773363472,140.72838053023236,A332
prc773371268,114.72234759138958,B788
prc773376037,149.537607376049,A359
prc773381349,157.70368790469163,A359
prc773397232,109.79784308821131,A359
prc773411366,33.749611985122776,A20N
prc773421699,50.74234274658059,A20N
prc773424972,152.68856877236468,A359
prc773429506,183.24575264812358,A20N
prc773437294,33.46947524125991,A321
prc773459730,255.1146982599149,B789
prc773461577,48.58466116520855,A320
prc773461925,37.86287133453688,B738
prc773498017,18.812303728877488,A321
prc773502555,162.37852236023977,A320
prc773511798,64.49077888571007,A20N
prc773529414,68.38234721393135,A320
prc773529481,41.64256666161536,A321
prc773543563,426.52453257610017,A321
prc773572592,151.56393522032033,B788
prc773579853,155.9209626567684,A320
prc773598238,153.06893725134108,A332
prc773604273,16.901459333850795,A321
prc773607456,25.283130368355035,A20N
prc773607749,118.92162281788266,A320
prc773610054,156.02083748562296,A320
prc773615532,56.578615272597126,A359
prc773619955,50.766041020343984,A320
prc773621573,373.2419927653867,B789
prc773626096,42.81125466668614,A20N
prc773626199,123.03302004746703,A320
prc773640182,188.43790097054062,B772
prc773642772,57.272553709462265,A320
prc773649292,142.6585419240151,A359
prc773652669,79.53089899319146,A320
prc773654585,262.9733730355494,A320
prc773661286,97.02838776242788,A320
prc773671333,143.79730593947198,A359
prc773679289,58.651608581335395,A20N
prc773681163,239.793989335556,B788
prc773688660,77.37058108432852,A359
prc773690006,27.463424246429664,A320
prc773698560,147.18650579233392,B788
prc773701579,29.971837809599197,A20N
prc773716523,133.9702276144845,B789
prc773719037,58.374630657089085,A320
prc773721050,103.90592857064829,B788
prc773740226,69.71285819068315,B738
prc773750101,79.61578757582681,A359
prc773767427,430.36770058060574,B789
prc773774199,53.787353663767796,B738
prc773800742,112.00187503885103,A321
prc773817832,17.28916470267825,A320
prc773824123,27.410462538898308,A20N
prc773844190,184.08892145102655,A20N
prc773845318,39.99311983933266,B738
prc773850665,61.869264964381905,A320
prc773852781,118.64447248573761,A320
prc773853748,137.77214140954683,B738
prc773865082,87.39401874074758,A321
prc773868162,170.30369108194787,B788
prc773885258,36.94593719603428,A20N
prc773887684,23.80999470352443,A20N
prc773888807,117.1285299861449,A332
prc773892106,115.02831917008156,B788
prc773905162,114.28932784473575,A332
prc773912283,83.92856431889716,A359
prc773924954,112.23736262731508,B739
prc773928110,49.024905491993295,A320
prc773935624,116.8831114805885,A359
prc773936641,69.85808671217606,A320
prc773953805,76.90292207163814,A20N
prc774355350,133.7136438786193,A359
prc774364322,36.40052034509445,A20N
prc774365655,28.13972865772852,A20N
prc774372168,38.97717834876558,B738
prc774373839,160.32348115451637,A359
prc774382842,251.61674417313537,B744
prc774387379,122.18552997712348,A320
prc774387976,27.570275601396755,A359
prc774395861,15.850294239271578,A320
prc774399584,33.738225556403684,A321
prc774404027,135.44278797783707,A320
prc774425478,152.547176031888,A359
prc774440610,90.44104699129443,A20N
prc774442627,50.35785324223123,A320
prc774450347,54.747385952000506,A320
prc774479521,301.813899669549,B77W
prc774493292,148.15957284409077,A20N
prc774508727,76.7356909974133,B738
prc774510350,24.714152328781008,A20N
prc774510648,50.26682569104203,A320
prc774515213,100.98064854665331,A320
prc774522061,316.82751924592515,A332
prc774523612,101.23358399636874,A359
prc774524978,78.14233974499126,A320
prc774528230,101.56268944379197,B788
prc774528476,22.971005676528733,A20N
prc774528548,101.0845781012288,A320
prc774537589,117.5418291482087,A20N
prc774541042,84.11355184394009,A320
prc774548587,29.160742029858454,A20N
prc774551100,266.2293731346737,B788
prc774553279,41.38341739671164,A20N
prc774553479,143.27364131895183,A20N
prc774555683,87.74074460558059,A20N
prc774560983,87.5907815029028,A320
prc774566650,44.976670385647274,A320
prc774566722,38.515660996647085,A20N
prc774567274,37.08861575689294,B738
prc774577916,97.4982695913262,B788
prc774590156,128.39535629313983,A359
prc774595744,28.662723632077657,A20N
prc774598226,45.105662782093766,B738
prc774605525,86.13821417288486,A20N
prc774620933,187.8157435380963,A359
prc774626095,297.7001730535492,A359
prc774629002,219.6821183920433,A320
prc774633043,144.19118201068844,A359
prc774636530,43.08933686643656,B738
prc774637415,204.13365700021518,A321
prc774642189,151.40442222593336,B738
prc774644214,20.397029279559234,A320
prc774655681,77.66026580206594,A21N
prc774661234,239.24536718613567,A332
prc774673734,93.41258838426,A20N
prc774676796,96.65296674381172,A359
prc774681456,45.4185692242212,A320
prc774687775,99.22460307630153,A320
prc774703204,85.13868867069374,A320
prc774722945,230.5540751606072,A359
prc774728851,54.916060685210326,A320
prc774734971,116.79734863176155,A320
prc774753840,167.52600624212008,B788
prc774753979,11.416598076384954,A320
prc774759407,178.3428479543948,A359
prc774767580,84.0746918274266,A20N
prc774784306,23.117765043637863,A20N
prc774787978,35.341396036611435,A321
prc774788055,150.71867888412442,A332
prc774797240,41.47693735245143,A20N
prc774809661,276.35039197057154,A321
prc774814777,180.72379430105818,A20N
prc774826046,32.014849896659385,A320
prc774832296,52.889434627194134,A320
prc774837339,157.05755369993472,A359
prc774841333,155.42547185640007,A320
prc774851967,55.456338439115164,B788
prc774859589,52.83167842102703,A20N
prc774867763,42.16770605859547,A21N
prc774869354,158.77666334668984,A332
prc774871506,116.83520827578096,B738
prc774883678,340.37827081253914,B772
prc774890503,62.19435231302202,A320
prc774902737,163.50769467170466,B738
prc774904138,156.32968461410826,A359
prc774907344,35.10389933716652,A20N
prc774931418,97.25342561843762,A359
prc774943368,191.5844946400625,A20N
prc774955308,23.921994742665092,A20N
prc774960707,121.60257493525961,A320
prc774974761,6.616566282632982,A20N
prc775012308,54.03970069988936,A20N
prc775024220,55.41297112379188,A320
prc775026145,486.4732858575282,A332
prc775030393,102.46355010910453,A21N
prc775040631,55.83179325564206,A320
prc775040955,35.414268730712756,A20N
prc775050601,190.6746064662564,B772
prc775060443,63.77434246011138,A20N
prc775067402,120.78027069885007,A21N
prc775079124,42.7026673187979,A320
prc775080134,65.09566598565037,A320
prc775081207,42.20547380488026,A320
